P,EFFECTSIZE,SNP,GENE
8.364370453611594e-95,-1.4245170428298675,,TBX2
8.439460297730637e-228,,,NR4A1
3.440916809397183e-163,,,TEAD4
1.3158552857408673e-210,-1.1418737376190915,,E4F1
1.6731751570485827e-249,,,ERG
4.854153202580229e-284,,,STAT1
4.3211512181884675e-40,,,PBX1
7.647087240768336e-211,-0.6881146492933742,,HIVEP2
2.034544211592219e-300,,,FOXP2
8.333107318503925e-272,,,BCL6B
1.109248952274062e-254,,,REL
8.087644794905955e-184,,,HOXA9
1.0616207819032895e-295,,,ENO1
2.3541990944388296e-82,,,TCF3
3.68883537e-316,,,CEBPA
4.7092048042051586e-297,,,ARX
0.3024064898914015,-2.8504201989405944,,THRB
1.328939191860246e-55,,,RARB
9.50900218808797e-269,-0.7282377047914578,,NR4A2
4.537283277718425e-168,,,SPDEF
2.309205358854104e-255,,,EBF1
9.066368117472117e-275,,,E2F3
5.853914376291916e-269,,,RFX3
8.026157834286175e-234,-0.8622583447298419,,GLIS3
2.77e-322,,,GATA3
7.397292833831497e-287,,,AHR
0.0,-0.6909443433875165,,NFE2L2
3.989594221670482e-53,,,CREB3L1
1.557827816471277e-277,-0.6871091863174352,,IRF5
2.1774032094641057e-261,-0.6095790373738383,,ARID3A
3.8098815152532376e-232,,,ID4
0.0,,,ETV2
2.4475351481843783e-84,,,CEBPG
2.7360629770906148e-142,,,ATF3
0.0,,,IRF8
3.159013180840367e-304,-1.1315681526315238,,NR1I2
1.953550094015182e-220,,,TFAP4
1.2592872968211453e-239,-0.5890585971784572,,RUNX3
1.4360028273715327e-165,,,TAL1
5.325645375949448e-235,,,ESR1
5.839302861022441e-184,,,BATF
2.6611143426499793e-236,,,MEIS2
2.133663946995099e-263,,,NFYC
7.490025283782439e-120,,,CEBPD
5.300366117725576e-268,-0.3343118726272697,,STAT6
9.026998851412656e-230,,,NR3C1
7.918208054594378e-272,,,NR1D1
0.0,,,HINFP
0.0,-0.554661117448225,,ZNF282
0.0,-0.060648113666828436,,TCF12
1.4169442449424502e-199,,,HOXD8
1.7970240056197775e-212,,,FOXO3
7.137130426604166e-295,-0.13420458826535386,,EGR2
6.607327403145576e-301,-0.7941796991435149,,GLI2
0.0,,,FOXH1
5.084192855168245e-92,-1.3719516755292345,,BHLHE41
1.3829354489592208e-241,,,ELF1
0.0,,,NR6A1
0.0,,,GLIS1
1.2520265128775786e-231,-0.7611828832536629,,HSF4
4.0909054618876785e-219,-0.6768520978773297,,HOXB6
1.800665866742912e-255,,,POU4F1
4.33894626746558e-309,,,MEOX1
3.714933969652563e-237,,,ARNTL
7.115153375869852e-228,-1.536133240785808,,RUNX2
1.1739835677350932e-95,-1.351588285311468,,PAX8
5.087339724796638e-235,,,MAX
7.091323980493238e-187,-0.819218580220936,,NFIA
4.3528183636036056e-257,,,RORC
2.880487696310469e-58,-1.873043082341424,,DBP
1.2328350056701738e-258,-1.299141384353723,,ZNF524
8.368540791006097e-19,-2.2166456132802845,,GATA5
2.6215795390000507e-107,,,ZNF350
2.902926497186104e-252,,,NR1H2
0.0,0.02290407686499767,,FLI1
5.0636004131480016e-195,,,HIC1
2.8977788648265306e-242,,,MLXIPL
8.559768335623922e-236,-0.5365215048655962,,PPARD
9.584286880641356e-255,-0.612716669709074,,DNMT1
5.98985216317751e-299,,,JDP2
1.1036507681640768e-192,-0.705684194995883,,MNT
1.5577655027203542e-285,,,GATA2
0.0,,,TCF7L1
4.106268773898718e-264,,,HIC2
1.935675688267443e-266,,,ETV7
0.0,,,SRF
2.0265096970687335e-209,-0.5804247655136725,,MITF
0.0,,,HOXA5
3.634947073625325e-240,,,PBX3
0.0,-1.3701271018727168,,IRX5
9.109474748001898e-216,,,MECOM
1.946213939596757e-117,-1.1679484487312979,,HOXC6
5.378592625293892e-177,-0.610275156282978,,BCL6
1.5766993802520592e-285,,,TCF7
9.439504048014168e-213,,,CDX2
6.739844322947278e-233,,,TBX19
6.979851574713371e-282,,,ATF6
0.0,,,POU6F1
1.3946328392089842e-190,,,KDM2B
1.4406230996684175e-84,-1.544944640224099,,USF1
1.6105079852484572e-276,-0.5088095179729805,,ETV5
1.9806847558914683e-289,,,ARNT2
5.139813331738308e-252,,,HOXB2
1.6957735710130848e-100,,,ETS2
4.408898767228424e-211,,,MEF2B
3.5517742345e-314,,,IRF2
